기간	대분류	분류	합계	TV  또는 비디오시청	여행야외나들이	컴퓨터게임인터넷검색 등	휴식	사회활동	운동	문화예술관람	창작적 취미활동	운동경기관람	종교활동	기타
2016	서울시	서울시	100	43	13.2	6.9	6.5	1.2	6.1	7.5	4	2.9	8.5	0.1
2016	성별	남자	100	43.7	13.1	7.6	6	0.7	8.5	6.6	3.5	3.5	6.5	0.1
2016	성별	여자	100	42.4	13.2	6.3	7	1.6	3.8	8.5	4.5	2.2	10.4	0.1
2016	연령별	10대	100	52.5	12.8	2.1	5.6	1	7.9	3	2.6	2.6	9.9	0
2016	연령별	20대	100	50.1	15.1	3.5	5.3	1.3	7.2	3.1	2.5	2.4	9.4	0.1
2016	연령별	30대	100	42.4	15.6	5.3	5.3	1.9	7.6	6.2	4.4	2.8	8.4	0.1
2016	연령별	40대	100	38.3	16	9.8	6.7	1.4	5.2	6.3	5.2	3.5	7.6	0.1
2016	연령별	50대	100	44.7	10.7	8.6	7.8	0.8	4.3	7.4	3.1	2.5	10.1	0.1
2016	연령별	60대 이상	100	38.6	9.5	8.3	7.4	0.8	5.8	14.3	5	3.1	7.1	0.1
2016	학력별	중졸 이하	100	39.3	9.9	7.8	8.1	1	5.3	13.9	4.9	2.7	7.2	0
2016	학력별	고졸 이하	100	42.8	12.5	7.6	6.7	0.9	5.9	8	4.3	2.7	8.4	0.1
2016	학력별	대졸 이하	100	43.7	14.2	6.4	6.2	1.4	6.4	6.2	3.8	3	8.8	0.1
2016	학력별	대학원 이상	100	44.8	11.4	7.6	5.5	2.4	4.6	7.8	4.5	2	9.3	-
2016	소득별	100만원 미만	100	47.4	11	6.9	5.2	0.8	6.3	5.5	4.4	4.5	8	-
2016	소득별	100-200만원 미만	100	40.4	12.2	6.7	7.2	0.9	5.3	12.3	5.4	2.7	6.8	0
2016	소득별	200-300만원 미만	100	43.7	13.3	7	5.4	1.3	6.7	7.5	3.7	2.6	8.7	0.1
2016	소득별	300-400만원 미만	100	43.5	12.9	7	6.6	1.3	5.9	7.2	4.2	2.7	8.8	0
2016	소득별	400-500만원 미만	100	43.2	13.5	6.9	6.9	1.1	5.9	6.8	4.1	3	8.6	0.1
2016	소득별	500만원 이상	100	42.8	13.5	6.9	6.5	1.3	6.4	7.3	3.7	2.9	8.7	0.1
2016	혼인상태별	기혼	100	41	12.9	8.2	6.7	1.2	5.8	8.2	4.5	3.1	8.3	0.1
2016	혼인상태별	미혼	100	48.5	14.8	3.9	5.5	1.3	7.3	4	3.2	2.6	9	0.1
2016	혼인상태별	이혼/별거	100	44.3	11.7	8.9	7.5	1.3	3.5	9	3.2	2.5	8	-
2016	혼인상태별	사별	100	37.5	10	7.2	8.1	0.9	5.2	15.5	4.5	2.6	8.3	0
