기간	대분류	분류	영상시청	여행야외나들이	컴퓨터게임인터넷검색 등	휴식	사회봉사활동	운동	문화예술관람	문화예술 참여활동	운동경기관람	종교활동	독서	기타
2019	서울시	서울시	24.5	20.9	8.1	2.3	2.6	8.4	10.4	1.7	2.7	15.6	2.2	0.4
2019	성별	남자	24.3	20.4	9.6	2.3	2.3	10.6	9.9	1.6	3.8	12.9	1.9	0.4
2019	성별	여자	24.8	21.4	6.7	2.2	2.9	6.4	11	1.8	1.7	18.3	2.5	0.4
2019	연령별	10대	19.1	13.1	24.2	0.7	3.4	6.5	14.7	1.1	1.9	10.9	4.3	0.1
2019	연령별	20대	17.3	21.3	15.5	1.6	3.1	6.5	16.2	2	4.1	9.4	2.7	0.3
2019	연령별	30대	18.8	29.1	9.4	2	1.9	6.5	13.5	1.6	2.5	12.2	1.8	0.7
2019	연령별	40대	22.6	24.9	6.6	1.6	2	8.1	10.6	1.7	2.9	16.6	2	0.5
2019	연령별	50대	26.1	19.9	5.2	2.6	2.4	10.8	8.1	2	2.6	17.4	2.5	0.3
2019	연령별	60대 이상	35.1	14.3	1.8	3.5	3.2	10	5	1.4	2.1	21.4	1.7	0.4
2019	학력별	중졸 이하	38.5	12.1	3.4	4.8	4	8	4.1	1.4	1.5	20.2	1.6	0.2
2019	학력별	고졸 이하	28.6	18.2	8.2	2.1	2.3	8.6	8.4	1.5	2.3	17.3	2.2	0.4
2019	학력별	대졸 이하	19.1	24.5	9.3	1.7	2.5	8.4	13.1	1.8	3.2	13.6	2.3	0.5
2019	학력별	대학원 이상	20.6	20.9	4.6	3	3.5	10.9	10.6	3	3.3	16.2	3.3	0.1
2019	소득별	100만원 미만	39	9.8	6.9	7.4	1.7	5.5	6.1	1.5	1.6	18.1	2.2	0.2
2019	소득별	100-200만원 미만	38.3	11.2	4.1	3.7	4.5	8.8	4.9	2.3	1.7	18	1.9	0.5
2019	소득별	200-300만원 미만	25.9	19.8	9.6	2.8	3.3	7.8	8.6	1.5	3.2	15.6	1.3	0.5
2019	소득별	300-400만원 미만	26.3	21.6	8.1	2.2	3	8	9.1	1.9	2.7	14.5	2.1	0.6
2019	소득별	400-500만원 미만	24.5	21.8	8.5	1.4	3	7.5	9.8	1.3	2.7	16.5	2.6	0.4
2019	소득별	500만원 이상	20	23.2	8.3	1.8	1.9	9.3	12.9	1.7	2.9	15.2	2.4	0.3
2019	혼인상태별	기혼	25.1	23.9	4.7	2	2	9.4	8.7	1.7	2.4	17.6	2	0.4
2019	혼인상태별	미혼	17.8	18.2	16.9	1.7	3.5	7.1	16.1	1.8	3.6	9.9	2.9	0.4
2019	혼인상태별	이혼/사별/기타	37.3	13.2	3.6	4.5	3.6	6.9	5.5	1.3	2.1	20.2	1.6	0.2
2019	지역대분류	도심권	24.1	18.8	11.5	3	2.8	13.9	5.7	1.8	2.5	11.9	3.8	0.3
2019	지역대분류	동북권	30	19.7	9	1.7	2.8	6.9	6.1	1.3	1.7	18.4	2.1	0.2
2019	지역대분류	서북권	24.7	25.4	6.6	0.8	2.7	8.1	10.9	1	3.4	14.2	1.8	0.4
2019	지역대분류	서남권	19.3	18.6	8	3.4	2.2	8.7	15.1	2.7	3.7	15.2	2.4	0.6
2019	지역대분류	동남권	23.7	24	6.8	2.3	2.9	9.3	11.1	1.1	2.6	13.8	1.9	0.4
2019	종로구	종로구	18.1	27	5.5	1.8	3.5	10.3	7.6	1.4	1	22.4	1.4	-
2019	중구	중구	24.2	22.4	17.4	6.5	2.3	7.3	5.1	1.5	2.1	9.2	1.9	-
